year,model,price,mileage,color,transmission
2011,SEL,21992.0,7413,Yellow,AUTO
2011,SEL,20995.0,10926,Gray,AUTO
2011,SEL,29995.0,36323,Gray,AUTO
2011,SEL,19995.0,7351,Silver,AUTO
2011,SEL,17809.0,11613,Gray,AUTO
2012,SE,17500.0,8367,White,AUTO
2010,SEL,17495.0,25125,Silver,AUTO
2010,SES,13127.793548387097,36323,Silver,AUTO
2011,SEL,17000.0,27393,Blue,AUTO
2010,SEL,16995.0,21026,Silver,AUTO
2011,SES,16995.0,32655,Silver,AUTO
2011,SES,13127.793548387097,4232,Blue,AUTO
2010,SES,16995.0,36116,Silver,AUTO
2010,SES,16995.0,40539,Black,AUTO
2011,SES,16992.0,9199,Silver,AUTO
2011,SEL,16950.0,9388,Green,AUTO
2010,SES,16950.0,32058,Red,AUTO
2011,SE,16000.0,15367,White,AUTO
2011,SES,15999.0,16368,Blue,AUTO
2010,SEL,15999.0,19926,Silver,AUTO
2010,SES,15995.0,36049,Silver,AUTO
2011,SEL,15992.0,11662,Blue,AUTO
2011,SE,16901.0,36323,White,AUTO
2011,SEL,15992.0,32069,Silver,AUTO
2010,SES,15988.0,16035,Silver,MANUAL
2010,SEL,15980.0,39943,White,AUTO
2011,SE,15899.0,36685,Silver,AUTO
2010,SES,15228.0,36323,Silver,MANUAL
2010,SEL,15889.0,24920,Black,AUTO
2009,SEL,15688.0,20019,Blue,AUTO
2010,SE,15500.0,29338,Blue,AUTO
2010,SE,15499.0,7784,Black,AUTO
2010,SE,15499.0,35636,Black,AUTO
2010,SEL,13127.793548387097,65636,Black,MANUAL
2010,SES,15298.0,22029,Gray,AUTO
2009,SEL,14999.0,33107,Silver,AUTO
2010,SES,14999.0,36306,Red,AUTO
2009,SE,14995.0,34419,Black,MANUAL
2011,SE,14992.0,4867,Black,AUTO
2011,SEL,14992.0,18948,Black,AUTO
2009,SES,14992.0,24030,Red,AUTO
2010,SEL,14990.0,33036,Black,AUTO
2011,SE,14989.0,23967,White,AUTO
2010,SEL,19906.0,36323,White,AUTO
2010,SE,14906.0,37905,Silver,AUTO
2010,SE,14900.0,28955,White,AUTO
2010,SE,14893.0,11165,White,AUTO
2010,SES,14761.0,44813,Black,AUTO
2010,SES,14699.0,36469,Gray,AUTO
2010,SES,14677.0,22143,Black,MANUAL
2009,SES,14549.0,34046,Silver,AUTO
2010,SE,14499.0,32703,Red,AUTO
2010,SES,14495.0,35894,Silver,AUTO
2010,SE,14495.0,38275,Black,AUTO
2010,SE,14480.0,24855,Blue,AUTO
2009,SEL,14477.0,29501,Gray,MANUAL
2009,SEL,14355.0,35394,Red,AUTO
2010,SE,14299.0,36447,Black,AUTO
2010,SES,14275.0,35318,Black,AUTO
2010,SES,14000.0,24929,Silver,AUTO
2009,SE,13999.0,23785,Red,AUTO
2010,SE,13997.0,15167,Black,MANUAL
2010,SE,13995.0,13541,Silver,AUTO
2010,SE,13995.0,20278,Black,MANUAL
2009,SES,13995.0,46126,Black,AUTO
2009,SES,13995.0,53733,Silver,AUTO
2009,SES,13992.0,21108,Silver,AUTO
2010,SE,13992.0,21721,Green,AUTO
2010,SES,13992.0,26716,Gray,MANUAL
2009,SES,13992.0,26887,Black,AUTO
2009,SE,13991.0,36252,Silver,MANUAL
2009,SE,13950.0,9450,Black,AUTO
2010,SE,13950.0,31414,Black,AUTO
2010,SE,13950.0,37185,Blue,AUTO
2010,SE,13895.0,48174,Gray,AUTO
2009,SE,13888.0,50533,White,AUTO
2009,SE,13845.0,36713,Blue,AUTO
2009,SES,13799.0,34888,Black,AUTO
2009,SES,13742.0,38380,Black,AUTO
2010,SEL,13687.0,35574,Gray,AUTO
2009,SEL,13663.0,27528,Silver,AUTO
2010,SES,13599.0,33302,Red,AUTO
2009,SEL,13584.0,43369,Red,AUTO
2009,SES,13425.0,64055,Black,AUTO
2010,SE,13384.0,41342,Gray,AUTO
2010,SE,13383.0,34503,Black,AUTO
2010,SE,13350.0,16573,Blue,AUTO
2009,SES,12999.0,32403,Blue,AUTO
2009,SE,12998.0,34846,Blue,AUTO
2007,SE,12997.0,39665,Red,AUTO
2010,SE,12995.0,21325,Black,AUTO
2010,SE,12995.0,32743,Black,MANUAL
2010,SE,12995.0,40058,White,MANUAL
2009,SE,12995.0,42325,Blue,AUTO
2009,SE,12995.0,44518,Red,AUTO
2009,SE,12995.0,53902,Gray,AUTO
2008,SE,12995.0,127327,Red,AUTO
2009,SE,12992.0,27136,Gray,AUTO
2009,SES,12990.0,45813,Silver,AUTO
2009,SE,12988.0,31538,Gray,AUTO
2010,SE,12849.0,29517,Silver,AUTO
2010,SE,12780.0,35871,Black,AUTO
2008,SE,12777.0,49787,Black,MANUAL
2008,SES,12704.0,36323,Blue,AUTO
2009,SES,12595.0,39211,Blue,AUTO
2009,SE,12507.0,44789,Gray,AUTO
2008,SE,12500.0,45996,White,MANUAL
2009,SE,12500.0,54988,White,MANUAL
2009,SE,12280.0,29288,Red,AUTO
2009,SE,11999.0,36124,Blue,AUTO
2009,SE,11992.0,32559,Black,MANUAL
2009,SES,11984.0,59048,Black,AUTO
2009,SE,11980.0,55170,Red,AUTO
2010,SE,11792.0,39722,Green,AUTO
2008,SE,11754.0,38286,Black,AUTO
2008,SES,11749.0,57341,Red,AUTO
2008,SES,11495.0,82221,Silver,AUTO
2008,SE,11450.0,85229,Red,MANUAL
2009,SES,10995.0,42834,Red,AUTO
2005,SES,10995.0,69415,Blue,AUTO
2009,SEL,10995.0,78264,Gray,AUTO
2009,SE,10979.0,60709,Red,AUTO
2008,SE,10955.0,39643,Gray,AUTO
2009,SE,10955.0,40180,Gold,AUTO
2008,SE,10836.0,40330,Green,MANUAL
2007,SES,10815.0,77231,Red,AUTO
2007,SE,10770.0,72937,Silver,MANUAL
2010,SE,10717.0,64199,Black,AUTO
2007,SES,10000.0,63926,Red,AUTO
2007,SES,9999.0,74427,Silver,AUTO
2007,SES,9999.0,78948,Black,MANUAL
2006,SE,9995.0,51311,Silver,AUTO
2008,SE,9995.0,95364,White,AUTO
2008,SE,9992.0,74109,White,AUTO
2007,SE,9651.0,63296,Blue,AUTO
2007,SES,9000.0,80605,Red,AUTO
2006,SE,8999.0,49656,Silver,AUTO
2007,SE,8996.0,48652,Silver,MANUAL
2006,SE,8800.0,71331,White,AUTO
2008,SE,8495.0,106171,Black,AUTO
2008,SE,8494.0,68901,Silver,AUTO
2009,SE,8480.0,70036,White,MANUAL
2007,SES,7999.0,81596,Yellow,MANUAL
2006,SES,7995.0,35000,Black,MANUAL
2006,SES,7995.0,97987,Red,AUTO
2003,SES,7900.0,96000,White,AUTO
2005,SES,7488.0,59013,Red,AUTO
2004,SE,6999.0,105714,Silver,AUTO
2007,SE,6995.0,86862,White,AUTO
2000,SE,6980.0,60161,Green,AUTO
2004,SES,6980.0,101130,Gray,AUTO
2004,SES,6950.0,119720,Black,AUTO
2006,SES,6200.0,95000,Silver,AUTO
2002,SE,5995.0,87003,Red,AUTO
2000,SE,5980.0,96841,Red,AUTO
2001,SE,4899.0,151479,Yellow,AUTO
2000,SE,3800.0,109259,Red,AUTO
2010,SES,13127.793548387097,16035,Red,MANUAL
2005,SES,8488.0,36323,Red,AUTO
2004,SE,13127.793548387097,36323,Silver,AUTO
